Retention_Strength_Tier,Customer_Count,Churned_Customers,Retained_Customers,Avg_Retention_Strength_Score,Avg_Relationship_Strength,Avg_Num_Products,Avg_Balance,Customer_%,Churn_Rate,Retention_Rate
Critical Retention Risk,1776,1225,551,20.92,40.69,1.23,76478.51,17.76,68.98,31.02
Weak Retention,2857,482,2375,45.95,52.81,1.51,72244.52,28.57,16.87,83.13
Moderate Retention,2640,286,2354,65.61,70.54,1.52,82000.52,26.4,10.83,89.17
Strong Retention,1953,44,1909,82.3,82.62,1.66,69709.13,19.53,2.25,97.75
Very Strong Retention,774,0,774,95.49,95.23,2.01,90448.53,7.74,0.0,100.0
